Zipcode	Income
10282	230952
10007	216037
10069	170630
10162	168667
10280	129574
12404	67639
13605	48068
13606	63071
14801	45810
13730	40102
10504	182292
14001	54052
12211	95554
12205	65090
12208	58825
12209	56972
12203	54059
11507	908330
14411	42967
14004	56163
14005	57409
13607	36554
14802	19018
14706	50647
14804	61875
12009	80750
13302	39896
12501	64040
13078	83355
11701	69733
11708	
12010	44256
13731	46000
14806	49792
14709	43173
14006	58511
14006	58511
13608	51615
13732	74842
14009	46287
10502	135139
12809	61168
14807	45821
13323	62681
10504	182292
14083	
12015	61164
11509	109375
14011	61196
13021	46296
13026	71359
12912	50880
12018	80126
14809	42902
14414	63083
11702	94558
13733	45960
11510	98798
11510	98798
11510	98798
12020	68252
13739	47150
13734	66810
14012	52188
13304	74408
11558	77056
14020	42809
14810	43750
14083	
11705	88958
11706	75775
11709	98362
12508	62792
14812	56211
10506	180823
10507	70557
14711	41000
11426	82301
11426	82301
14083	
11710	103686
11713	75183
14813	44223
14712	57931
14416	58750
11714	87327
14814	72667
11577	112552
13903	44267
13901	41344
13904	40985
13905	34520
13903	44267
13901	41344
13904	40985
13905	34520
13612	52841
14083	
10913	122857
14024	50577
14469	61694
12721	56964
13739	47150
11715	102841
11716	90362
14715	45030
12814	56375
13309	52542
13613	31645
14816	49583
11717	69405
13029	68010
10509	90437
10509	90437
10510	144414
13030	55938
11718	115909
12025	56938
14420	54643
14716	35708
10471	71798
10464	70078
10465	65450
10470	58600
10469	57776
11719	82875
14083	
12916	44063
10511	89107
14221	75189
14226	60545
14224	57375
14223	57076
14222	52073
14818	45208
12917	50972
12409	53750
12413	43370
13616	42500
14423	54665
12723	58102
11933	64593
12816	50365
13316	50027
13031	69877
14821	47500
13317	50065
14424	53231
14822	35708
13032	53314
13743	55000
14823	49868
13617	50785
13618	57625
11514	84651
10512	87802
12032	45938
13619	45888
14718	57813
14427	49922
12033	68382
13620	50909
13033	56292
12414	49396
14719	43036
13034	58466
13034	58466
13035	65556
11516	85985
11720	94658
11934	93929
11721	94929
12035	39813
11722	67023
13036	56056
13319	42344
12919	50807
10514	202414
12920	47931
12037	56354
13622	57041
12921	60833
14723	44861
13320	44464
10918	87114
12817	53690
11961	54312
13037	62214
14428	59587
14031	68137
14032	94092
12513	60833
13041	77708
13041	77708
13042	52788
14432	53819
13323	62681
12515	61394
14433	44688
12043	49589
14826	46902
12047	47138
13324	37055
10516	81442
11724	139971
13625	45508
13625	45508
11725	112024
14435	63250
14435	63250
10920	94526
12926	46284
13044	59286
13326	57375
12517	51806
12516	66190
12516	66190
13626	59708
11726	73164
11727	76333
14036	49276
12822	50617
14830	51902
12520	84808
13045	43985
13045	43985
11542	67914
12051	49408
13327	41302
10520	102807
12928	46081
11561	91984
14727	48077
11545	146083
12956	50000
11935	91298
12871	61301
14437	42938
13751	38828
11729	80279
13630	51563
12053	86250
14042	32740
13753	47792
14043	49369
13754	42193
14838	55045
13052	52546
13634	54456
10522	105000
13329	39444
12522	56859
13755	41574
14441	45313
13053	60799
12448	61310
12056	91300
14837	44318
14048	39566
13054	45833
13332	41782
11509	109375
13026	71359
14414	63083
10709	92098
14039	44583
14051	101660
12061	84714
11937	81057
11937	81057
12027	95690
11730	105000
14850	46331
14853	
12401	47225
11939	66583
11758	104986
11554	92311
11940	92200
12062	65294
11731	106154
11732	96989
11772	68230
11941	58487
11942	87044
10918	87114
11518	92866
11786	130800
13057	55705
14051	101660
13334	67500
14057	61292
13335	52083
13635	33194
11782	108594
14058	67069
13060	54481
12932	45402
12428	44718
14731	54625
13636	64643
14059	75511
14905	59159
14903	45000
14904	36250
14901	28844
14925	
14905	59159
14903	45000
14904	36250
14901	28844
14925	
11003	85672
10523	81667
13760	50420
14838	55045
12066	63750
13637	55104
13063	76618
12413	43370
14450	76552
10918	87114
14733	42891
14039	44583
11738	91875
13638	24600
14735	38278
11749	90699
12524	74513
13731	46000
12430	48333
11001	101634
11005	64300
10921	70975
13614	36250
12068	47813
14062	50745
12827	58893
12937	41324
13602	50667
12828	54253
12070	69643
13339	40963
12827	58893
13332	41782
13340	48671
13775	50655
11010	87644
13775	50655
14063	47982
14065	40848
11520	67723
13068	66480
14738	47956
14739	38872
13069	43312
13069	43312
14066	46060
12463	44938
12074	72328
12525	76535
12525	76535
14067	53009
14454	51625
14456	48158
12526	60430
12075	67755
13776	44107
13777	44904
11542	67914
11545	146083
11729	80279
12801	45538
12801	45538
12078	37766
11961	54312
10598	106576
10924	84661
13642	40218
14070	45192
12534	46261
14083	
12832	45162
11020	128309
11023	106729
11024	97383
11021	93258
11020	128309
11023	106729
11024	97383
11021	93258
11020	128309
11023	106729
11024	97383
11021	93258
13778	51260
13778	51260
14072	80243
11740	94474
11944	54394
11944	54394
11548	98375
13778	51260
10918	87114
12834	60913
14839	48667
13345	30733
13073	50561
14462	50677
13780	56000
12835	50662
12086	52036
14075	62497
13346	63469
14464	62783
13646	43304
13646	43304
11946	72023
12837	42721
13783	37632
13074	49198
11963	85583
11963	85583
10926	75906
12742	59271
12742	59271
12742	59271
10530	92923
13348	51641
10706	125960
11788	104888
10927	55556
10532	110484
11545	146083
14466	67365
11550	53669
13650	45548
12027	95690
13350	37665
13652	45500
11566	126532
13648	45000
13654	46833
11557	115516
11557	115516
11557	115516
11557	115516
11801	91718
12440	64482
12528	63974
12528	63974
10931	78750
14721	25227
12815	52083
14468	64802
13788	55000
11741	94527
14080	61569
14080	61569
14470	51918
11742	86346
13077	55933
14471	53939
14471	53939
12533	100842
14843	40638
14845	61005
14845	61005
12745	50500
14744	50298
12534	46261
12534	46261
14846	42198
14846	42198
11743	118222
14846	42198
11746	97796
12443	76814
12538	70599
13357	44500
14847	48080
